date,symbol,position,pnl,cum_pnl
2010-06-08,ZN,0.000000,-0.000000,0.000000
2010-06-09,ZN,0.000000,0.000000,0.000000
2010-06-10,ZN,0.000000,-0.000000,0.000000
2010-06-11,ZN,0.000000,0.000000,0.000000
2010-06-14,ZN,0.000000,-0.000000,0.000000
2010-06-15,ZN,0.000000,-0.000000,0.000000
2010-06-16,ZN,0.000000,0.000000,0.000000
2010-06-17,ZN,0.000000,0.000000,0.000000
2010-06-18,ZN,0.000000,-0.000000,0.000000
2010-06-20,ZN,0.000000,-0.000000,0.000000
2010-06-21,ZN,0.000000,0.000000,0.000000
2010-06-22,ZN,0.000000,-0.000000,0.000000
2010-06-23,ZN,0.000000,0.000000,0.000000
2010-06-24,ZN,0.000000,-0.000000,0.000000
2010-06-25,ZN,0.000000,0.000000,0.000000
2010-06-27,ZN,0.000000,0.000000,0.000000
2010-06-28,ZN,0.000000,0.000000,0.000000
2010-06-29,ZN,0.000000,0.000000,0.000000
2010-06-30,ZN,0.000000,-0.000000,0.000000
2010-07-01,ZN,0.000000,-0.000000,0.000000
2010-07-02,ZN,0.000000,-0.000000,0.000000
2010-07-04,ZN,0.000000,0.000000,0.000000
2010-07-05,ZN,0.000000,0.000000,0.000000
2010-07-06,ZN,0.000000,-0.000000,0.000000
2010-07-07,ZN,0.000000,-0.000000,0.000000
2010-07-08,ZN,0.000000,-0.000000,0.000000
2010-07-09,ZN,0.000000,-0.000000,0.000000
2010-07-11,ZN,0.000000,0.000000,0.000000
2010-07-12,ZN,0.000000,0.000000,0.000000
2010-07-13,ZN,0.000000,-0.000000,0.000000
2010-07-14,ZN,0.000000,0.000000,0.000000
2010-07-15,ZN,0.000000,0.000000,0.000000
2010-07-16,ZN,0.000000,0.000000,0.000000
2010-07-18,ZN,0.000000,0.000000,0.000000
2010-07-19,ZN,0.000000,-0.000000,0.000000
2010-07-20,ZN,0.000000,0.000000,0.000000
2010-07-21,ZN,0.000000,0.000000,0.000000
2010-07-22,ZN,0.000000,-0.000000,0.000000
2010-07-23,ZN,0.000000,-0.000000,0.000000
2010-07-25,ZN,0.000000,0.000000,0.000000
2010-07-26,ZN,0.000000,0.000000,0.000000
2010-07-27,ZN,0.000000,-0.000000,0.000000
2010-07-28,ZN,0.000000,0.000000,0.000000
2010-07-29,ZN,0.000000,0.000000,0.000000
2010-07-30,ZN,0.000000,0.000000,0.000000
2010-08-01,ZN,0.000000,-0.000000,0.000000
2010-08-02,ZN,0.000000,-0.000000,0.000000
2010-08-03,ZN,0.000000,0.000000,0.000000
2010-08-04,ZN,0.000000,-0.000000,0.000000
2010-08-05,ZN,0.000000,0.000000,0.000000
2010-08-06,ZN,0.000000,0.000000,0.000000
2010-08-08,ZN,0.000000,0.000000,0.000000
2010-08-09,ZN,0.000000,-0.000000,0.000000
2010-08-10,ZN,0.000000,0.000000,0.000000
2010-08-11,ZN,0.000000,0.000000,0.000000
2010-08-12,ZN,0.000000,-0.000000,0.000000
2010-08-13,ZN,0.000000,0.000000,0.000000
2010-08-15,ZN,0.000000,0.000000,0.000000
2010-08-16,ZN,0.000000,0.000000,0.000000
2010-08-17,ZN,0.000000,-0.000000,0.000000
2010-08-18,ZN,0.000000,0.000000,0.000000
2010-08-19,ZN,0.000000,0.000000,0.000000
2010-08-20,ZN,0.000000,-0.000000,0.000000
2010-08-22,ZN,0.000000,-0.000000,0.000000
2010-08-23,ZN,0.000000,0.000000,0.000000
2010-08-24,ZN,0.000000,0.000000,0.000000
2010-08-25,ZN,0.000000,-0.000000,0.000000
2010-08-26,ZN,0.000000,0.000000,0.000000
2010-08-27,ZN,0.000000,-0.000000,0.000000
2010-08-29,ZN,0.000000,-0.000000,0.000000
2010-08-30,ZN,0.000000,0.000000,0.000000
2010-08-31,ZN,0.000000,0.000000,0.000000
2010-09-01,ZN,0.000000,-0.000000,0.000000
2010-09-02,ZN,0.000000,-0.000000,0.000000
2010-09-03,ZN,0.000000,-0.000000,0.000000
2010-09-05,ZN,0.000000,-0.000000,0.000000
2010-09-06,ZN,0.000000,0.000000,0.000000
2010-09-07,ZN,0.000000,0.000000,0.000000
2010-09-08,ZN,0.000000,-0.000000,0.000000
2010-09-09,ZN,0.000000,-0.000000,0.000000
2010-09-10,ZN,0.000000,-0.000000,0.000000
2010-09-12,ZN,0.000000,-0.000000,0.000000
2010-09-13,ZN,0.000000,0.000000,0.000000
2010-09-14,ZN,0.000000,0.000000,0.000000
2010-09-15,ZN,0.000000,0.000000,0.000000
2010-09-16,ZN,0.000000,-0.000000,0.000000
2010-09-17,ZN,0.000000,0.000000,0.000000
2010-09-20,ZN,0.000000,0.000000,0.000000
2010-09-21,ZN,0.000000,0.000000,0.000000
2010-09-22,ZN,0.000000,-0.000000,0.000000
2010-09-23,ZN,0.000000,0.000000,0.000000
2010-09-24,ZN,0.000000,-0.000000,0.000000
2010-09-26,ZN,0.000000,0.000000,0.000000
2010-09-27,ZN,0.000000,0.000000,0.000000
2010-09-28,ZN,0.000000,0.000000,0.000000
2010-09-29,ZN,0.000000,-0.000000,0.000000
2010-09-30,ZN,0.000000,-0.000000,0.000000
2010-10-01,ZN,0.000000,0.000000,0.000000
2010-10-03,ZN,0.000000,0.000000,0.000000
2010-10-04,ZN,1.000000,0.001746,0.001746
2010-10-05,ZN,1.000000,0.001494,0.003240
2010-10-06,ZN,1.000000,0.003726,0.006966
2010-10-07,ZN,1.000000,0.000867,0.007833
2010-10-08,ZN,1.000000,0.000248,0.008081
2010-10-10,ZN,1.000000,0.000619,0.008700
2010-10-11,ZN,1.000000,0.000000,0.008700
2010-10-12,ZN,1.000000,-0.002478,0.006222
2010-10-13,ZN,1.000000,0.001116,0.007338
2010-10-14,ZN,1.000000,-0.004098,0.003240
2010-10-15,ZN,1.000000,-0.003240,-0.000000
2010-10-17,ZN,1.000000,0.001247,0.001247
2010-10-18,ZN,1.000000,0.003113,0.004360
2010-10-19,ZN,1.000000,0.001242,0.005601
2010-10-20,ZN,1.000000,-0.000497,0.005105
2010-10-21,ZN,1.000000,-0.002363,0.002742
2010-10-22,ZN,1.000000,-0.001370,0.001372
2010-10-24,ZN,1.000000,-0.000125,0.001247
2010-10-25,ZN,1.000000,-0.000124,0.001123
2010-10-26,ZN,1.000000,-0.005752,-0.004629
2010-10-27,ZN,1.000000,-0.004021,-0.008650
2010-10-28,ZN,1.000000,0.005274,-0.003376
2010-10-29,ZN,1.000000,0.004374,0.000998
2010-10-31,ZN,1.000000,-0.001248,-0.000250
2010-11-01,ZN,1.000000,0.000625,0.000375
2010-11-02,ZN,1.000000,0.001247,0.001621
2010-11-03,ZN,0.000000,0.000000,0.001621
2010-11-04,ZN,0.000000,0.000000,0.001621
2010-11-05,ZN,1.000000,-0.002346,-0.000725
2010-11-07,ZN,0.000000,0.000000,-0.000725
2010-11-08,ZN,1.000000,-0.000247,-0.000972
2010-11-09,ZN,1.000000,-0.007195,-0.008167
2010-11-10,ZN,1.000000,0.004348,-0.003819
2010-11-11,ZN,1.000000,-0.003103,-0.006922
2010-11-12,ZN,1.000000,-0.007989,-0.014911
2010-11-14,ZN,1.000000,0.000876,-0.014035
2010-11-15,ZN,1.000000,-0.010321,-0.024355
2010-11-16,ZN,1.000000,0.002401,-0.021954
2010-11-17,ZN,1.000000,-0.000127,-0.022081
2010-11-18,ZN,1.000000,-0.002907,-0.024988
2010-11-19,ZN,1.000000,-0.000507,-0.025495
2010-11-21,ZN,1.000000,-0.001268,-0.026762
2010-11-22,ZN,1.000000,0.006573,-0.020189
2010-11-23,ZN,1.000000,0.002139,-0.018050
2010-11-24,ZN,1.000000,-0.008205,-0.026255
2010-11-25,ZN,0.000000,0.000000,-0.026255
2010-11-26,ZN,0.000000,0.000000,-0.026255
2010-11-28,ZN,-1.000000,0.001393,-0.024862
2010-11-29,ZN,-1.000000,-0.003163,-0.028025
2010-11-30,ZN,-1.000000,-0.000883,-0.028908
2010-12-01,ZN,-1.000000,0.008236,-0.020673
2010-12-02,ZN,-1.000000,0.003058,-0.017615
2010-12-03,ZN,-1.000000,-0.001657,-0.019272
2010-12-05,ZN,-1.000000,-0.001019,-0.020291
2010-12-06,ZN,-1.000000,-0.003938,-0.024229
2010-12-07,ZN,-1.000000,0.012759,-0.011470
2010-12-08,ZN,-1.000000,0.009417,-0.002053
2010-12-09,ZN,-1.000000,-0.001166,-0.003219
2010-12-10,ZN,-1.000000,0.006364,0.003145
2010-12-13,ZN,-1.000000,-0.005975,-0.002830
2010-12-14,ZN,-1.000000,0.012773,0.009944
2010-12-15,ZN,-1.000000,0.002627,0.012571
2010-12-16,ZN,-1.000000,-0.006424,0.006147
2010-12-17,ZN,-1.000000,-0.006643,-0.000496
2010-12-20,ZN,-1.000000,-0.000000,-0.000496
2010-12-21,ZN,-1.000000,0.001559,0.001063
2010-12-22,ZN,-1.000000,0.011508,0.012571
2010-12-23,ZN,-1.000000,0.003294,0.015865
2010-12-26,ZN,-1.000000,-0.000264,0.015601
2010-12-27,ZN,-1.000000,-0.003425,0.012176
2010-12-28,ZN,-1.000000,0.007125,0.019301
2010-12-29,ZN,-1.000000,-0.009227,0.010074
2010-12-30,ZN,-1.000000,0.000657,0.010731
2010-12-31,ZN,-1.000000,-0.001968,0.008764
2011-01-02,ZN,-1.000000,0.001443,0.010206
2011-01-03,ZN,-1.000000,-0.000787,0.009419
2011-01-04,ZN,-1.000000,-0.000393,0.009025
2011-01-05,ZN,-1.000000,0.007763,0.016788
2011-01-06,ZN,-1.000000,-0.004744,0.012045
2011-01-07,ZN,-1.000000,-0.005767,0.006277
