date,symbol,position,pnl,cum_pnl
2010-06-08,GC,0.000000,-0.000000,0.000000
2010-06-09,GC,0.000000,-0.000000,0.000000
2010-06-10,GC,0.000000,-0.000000,0.000000
2010-06-11,GC,0.000000,0.000000,0.000000
2010-06-13,GC,0.000000,0.000000,0.000000
2010-06-14,GC,0.000000,-0.000000,0.000000
2010-06-15,GC,0.000000,0.000000,0.000000
2010-06-16,GC,0.000000,-0.000000,0.000000
2010-06-17,GC,0.000000,0.000000,0.000000
2010-06-18,GC,0.000000,0.000000,0.000000
2010-06-21,GC,0.000000,-0.000000,0.000000
2010-06-22,GC,0.000000,0.000000,0.000000
2010-06-23,GC,0.000000,-0.000000,0.000000
2010-06-24,GC,0.000000,0.000000,0.000000
2010-06-25,GC,0.000000,0.000000,0.000000
2010-06-28,GC,0.000000,-0.000000,0.000000
2010-06-29,GC,0.000000,0.000000,0.000000
2010-06-30,GC,0.000000,0.000000,0.000000
2010-07-01,GC,0.000000,-0.000000,0.000000
2010-07-02,GC,0.000000,0.000000,0.000000
2010-07-05,GC,0.000000,-0.000000,0.000000
2010-07-06,GC,0.000000,-0.000000,0.000000
2010-07-07,GC,0.000000,0.000000,0.000000
2010-07-08,GC,0.000000,-0.000000,0.000000
2010-07-09,GC,0.000000,0.000000,0.000000
2010-07-12,GC,0.000000,-0.000000,0.000000
2010-07-13,GC,0.000000,0.000000,0.000000
2010-07-14,GC,0.000000,-0.000000,0.000000
2010-07-15,GC,0.000000,0.000000,0.000000
2010-07-16,GC,0.000000,-0.000000,0.000000
2010-07-19,GC,0.000000,-0.000000,0.000000
2010-07-20,GC,0.000000,0.000000,0.000000
2010-07-21,GC,0.000000,-0.000000,0.000000
2010-07-22,GC,0.000000,0.000000,0.000000
2010-07-23,GC,0.000000,-0.000000,0.000000
2010-07-26,GC,0.000000,-0.000000,0.000000
2010-07-27,GC,0.000000,-0.000000,0.000000
2010-07-28,GC,0.000000,-0.000000,0.000000
2010-07-29,GC,0.000000,0.000000,0.000000
2010-07-30,GC,0.000000,0.000000,0.000000
2010-08-01,GC,0.000000,0.000000,0.000000
2010-08-02,GC,0.000000,0.000000,0.000000
2010-08-03,GC,0.000000,0.000000,0.000000
2010-08-04,GC,0.000000,0.000000,0.000000
2010-08-05,GC,0.000000,0.000000,0.000000
2010-08-06,GC,0.000000,0.000000,0.000000
2010-08-08,GC,0.000000,0.000000,0.000000
2010-08-09,GC,0.000000,-0.000000,0.000000
2010-08-10,GC,0.000000,0.000000,0.000000
2010-08-11,GC,0.000000,-0.000000,0.000000
2010-08-12,GC,0.000000,0.000000,0.000000
2010-08-13,GC,0.000000,0.000000,0.000000
2010-08-16,GC,0.000000,0.000000,0.000000
2010-08-17,GC,0.000000,0.000000,0.000000
2010-08-18,GC,0.000000,0.000000,0.000000
2010-08-19,GC,0.000000,0.000000,0.000000
2010-08-20,GC,0.000000,-0.000000,0.000000
2010-08-23,GC,0.000000,-0.000000,0.000000
2010-08-24,GC,0.000000,0.000000,0.000000
2010-08-25,GC,0.000000,0.000000,0.000000
2010-08-26,GC,0.000000,-0.000000,0.000000
2010-08-27,GC,0.000000,-0.000000,0.000000
2010-08-29,GC,0.000000,0.000000,0.000000
2010-08-30,GC,0.000000,-0.000000,0.000000
2010-08-31,GC,0.000000,0.000000,0.000000
2010-09-01,GC,0.000000,-0.000000,0.000000
2010-09-02,GC,0.000000,0.000000,0.000000
2010-09-03,GC,0.000000,-0.000000,0.000000
2010-09-07,GC,0.000000,0.000000,0.000000
2010-09-08,GC,0.000000,-0.000000,0.000000
2010-09-09,GC,0.000000,-0.000000,0.000000
2010-09-10,GC,0.000000,0.000000,0.000000
2010-09-13,GC,0.000000,-0.000000,0.000000
2010-09-14,GC,0.000000,0.000000,0.000000
2010-09-15,GC,0.000000,-0.000000,0.000000
2010-09-16,GC,0.000000,0.000000,0.000000
2010-09-17,GC,0.000000,0.000000,0.000000
2010-09-20,GC,0.000000,0.000000,0.000000
2010-09-21,GC,0.000000,0.000000,0.000000
2010-09-22,GC,0.000000,0.000000,0.000000
2010-09-23,GC,0.000000,0.000000,0.000000
2010-09-24,GC,0.000000,0.000000,0.000000
2010-09-27,GC,0.000000,0.000000,0.000000
2010-09-28,GC,0.000000,0.000000,0.000000
2010-09-29,GC,0.000000,-0.000000,0.000000
2010-09-30,GC,0.000000,-0.000000,0.000000
2010-10-01,GC,0.000000,0.000000,0.000000
2010-10-03,GC,0.000000,-0.000000,0.000000
2010-10-04,GC,0.000000,-0.000000,0.000000
2010-10-05,GC,0.000000,0.000000,0.000000
2010-10-06,GC,0.000000,0.000000,0.000000
2010-10-07,GC,0.000000,-0.000000,0.000000
2010-10-08,GC,0.000000,0.000000,0.000000
2010-10-10,GC,0.000000,0.000000,0.000000
2010-10-11,GC,0.000000,0.000000,0.000000
2010-10-12,GC,0.000000,-0.000000,0.000000
2010-10-13,GC,0.000000,0.000000,0.000000
2010-10-14,GC,0.000000,0.000000,0.000000
2010-10-15,GC,0.000000,-0.000000,0.000000
2010-10-18,GC,0.242620,0.000525,0.000525
2010-10-19,GC,0.243759,-0.003492,-0.002968
2010-10-20,GC,0.199002,0.001012,-0.001955
2010-10-21,GC,0.239273,-0.001823,-0.003779
2010-10-22,GC,0.290659,0.000275,-0.003504
2010-10-24,GC,0.301257,0.000569,-0.002934
2010-10-25,GC,1.000000,0.003054,0.000120
2010-10-26,GC,0.285808,-0.000301,-0.000182
2010-10-27,GC,0.309951,-0.001839,-0.002021
2010-10-28,GC,0.349219,0.002651,0.000630
2010-10-29,GC,0.278658,0.001662,0.002292
2010-11-01,GC,0.292289,-0.000810,0.001482
2010-11-02,GC,0.296442,0.000489,0.001971
2010-11-03,GC,0.327543,-0.001882,0.000089
2010-11-04,GC,0.380455,0.007153,0.007242
2010-11-05,GC,0.315488,0.000256,0.007498
2010-11-08,GC,0.307186,0.001381,0.008879
2010-11-09,GC,0.328984,-0.001989,0.006890
2010-11-10,GC,0.354446,0.001961,0.008851
2010-11-11,GC,0.307752,0.000396,0.009247
