date,symbol,position,pnl,cum_pnl
2010-06-08,NQ,0.000000,-0.000000,0.000000
2010-06-09,NQ,0.000000,-0.000000,0.000000
2010-06-10,NQ,0.000000,0.000000,0.000000
2010-06-11,NQ,0.000000,0.000000,0.000000
2010-06-13,NQ,0.000000,0.000000,0.000000
2010-06-14,NQ,0.000000,-0.000000,0.000000
2010-06-15,NQ,0.000000,0.000000,0.000000
2010-06-16,NQ,0.000000,0.000000,0.000000
2010-06-17,NQ,0.000000,0.000000,0.000000
2010-06-18,NQ,0.000000,0.000000,0.000000
2010-06-20,NQ,0.000000,0.000000,0.000000
2010-06-21,NQ,0.000000,-0.000000,0.000000
2010-06-22,NQ,0.000000,-0.000000,0.000000
2010-06-23,NQ,0.000000,-0.000000,0.000000
2010-06-24,NQ,0.000000,-0.000000,0.000000
2010-06-25,NQ,0.000000,-0.000000,0.000000
2010-06-27,NQ,0.000000,0.000000,0.000000
2010-06-28,NQ,0.000000,-0.000000,0.000000
2010-06-29,NQ,0.000000,-0.000000,0.000000
2010-06-30,NQ,0.000000,-0.000000,0.000000
2010-07-01,NQ,0.000000,-0.000000,0.000000
2010-07-02,NQ,0.000000,-0.000000,0.000000
2010-07-04,NQ,0.000000,0.000000,0.000000
2010-07-05,NQ,0.000000,-0.000000,0.000000
2010-07-06,NQ,0.000000,0.000000,0.000000
2010-07-07,NQ,0.000000,0.000000,0.000000
2010-07-08,NQ,0.000000,0.000000,0.000000
2010-07-09,NQ,0.000000,0.000000,0.000000
2010-07-11,NQ,0.000000,-0.000000,0.000000
2010-07-12,NQ,0.000000,0.000000,0.000000
2010-07-13,NQ,0.000000,0.000000,0.000000
2010-07-14,NQ,0.000000,-0.000000,0.000000
2010-07-15,NQ,0.000000,0.000000,0.000000
2010-07-16,NQ,0.000000,-0.000000,0.000000
2010-07-18,NQ,0.000000,-0.000000,0.000000
2010-07-19,NQ,0.000000,0.000000,0.000000
2010-07-20,NQ,0.000000,0.000000,0.000000
2010-07-21,NQ,0.000000,-0.000000,0.000000
