date,symbol,position,pnl,cum_pnl
2010-06-08,CL,0.000000,0.000000,0.000000
2010-06-09,CL,0.000000,0.000000,0.000000
2010-06-10,CL,0.000000,0.000000,0.000000
2010-06-11,CL,0.000000,-0.000000,0.000000
2010-06-13,CL,0.000000,0.000000,0.000000
2010-06-14,CL,0.000000,0.000000,0.000000
2010-06-15,CL,0.000000,0.000000,0.000000
2010-06-16,CL,0.000000,0.000000,0.000000
2010-06-17,CL,0.000000,-0.000000,0.000000
2010-06-18,CL,0.000000,0.000000,0.000000
2010-06-20,CL,0.000000,0.000000,0.000000
2010-06-21,CL,0.000000,-0.000000,0.000000
2010-06-22,CL,0.000000,-0.000000,0.000000
2010-06-23,CL,0.000000,-0.000000,0.000000
2010-06-24,CL,0.000000,0.000000,0.000000
2010-06-25,CL,0.000000,0.000000,0.000000
2010-06-27,CL,0.000000,-0.000000,0.000000
2010-06-28,CL,0.000000,-0.000000,0.000000
2010-06-29,CL,0.000000,-0.000000,0.000000
2010-06-30,CL,0.000000,0.000000,0.000000
2010-07-01,CL,0.000000,-0.000000,0.000000
2010-07-02,CL,0.000000,-0.000000,0.000000
2010-07-04,CL,0.000000,0.000000,0.000000
2010-07-05,CL,0.000000,-0.000000,0.000000
2010-07-06,CL,0.000000,0.000000,0.000000
2010-07-07,CL,0.000000,0.000000,0.000000
2010-07-08,CL,0.000000,0.000000,0.000000
2010-07-09,CL,0.000000,0.000000,0.000000
2010-07-11,CL,0.000000,-0.000000,0.000000
2010-07-12,CL,0.000000,-0.000000,0.000000
2010-07-13,CL,0.000000,0.000000,0.000000
2010-07-14,CL,0.000000,-0.000000,0.000000
2010-07-15,CL,0.000000,0.000000,0.000000
2010-07-16,CL,0.000000,-0.000000,0.000000
2010-07-18,CL,0.000000,-0.000000,0.000000
2010-07-19,CL,0.000000,0.000000,0.000000
2010-07-20,CL,0.000000,0.000000,0.000000
2010-07-21,CL,0.000000,-0.000000,0.000000
2010-07-22,CL,0.000000,0.000000,0.000000
2010-07-23,CL,0.000000,-0.000000,0.000000
2010-07-25,CL,0.000000,-0.000000,0.000000
2010-07-26,CL,0.000000,0.000000,0.000000
2010-07-27,CL,0.000000,-0.000000,0.000000
2010-07-28,CL,0.000000,-0.000000,0.000000
2010-07-29,CL,0.000000,0.000000,0.000000
2010-07-30,CL,0.000000,0.000000,0.000000
2010-08-01,CL,0.000000,0.000000,0.000000
2010-08-02,CL,0.000000,0.000000,0.000000
2010-08-03,CL,0.000000,0.000000,0.000000
2010-08-04,CL,0.000000,0.000000,0.000000
2010-08-05,CL,0.000000,-0.000000,0.000000
2010-08-06,CL,0.000000,-0.000000,0.000000
2010-08-08,CL,0.000000,-0.000000,0.000000
2010-08-09,CL,0.000000,0.000000,0.000000
2010-08-10,CL,0.000000,-0.000000,0.000000
2010-08-11,CL,0.000000,-0.000000,0.000000
2010-08-12,CL,0.000000,-0.000000,0.000000
2010-08-13,CL,0.000000,-0.000000,0.000000
2010-08-15,CL,0.000000,-0.000000,0.000000
2010-08-16,CL,0.000000,-0.000000,0.000000
2010-08-17,CL,0.000000,0.000000,0.000000
2010-08-18,CL,0.000000,-0.000000,0.000000
2010-08-19,CL,0.000000,-0.000000,0.000000
2010-08-20,CL,0.000000,-0.000000,0.000000
2010-08-22,CL,0.000000,0.000000,0.000000
2010-08-23,CL,0.000000,-0.000000,0.000000
2010-08-24,CL,0.000000,-0.000000,0.000000
2010-08-25,CL,0.000000,0.000000,0.000000
2010-08-26,CL,0.000000,0.000000,0.000000
2010-08-27,CL,0.000000,0.000000,0.000000
2010-08-29,CL,0.000000,-0.000000,0.000000
2010-08-30,CL,0.000000,-0.000000,0.000000
2010-08-31,CL,0.000000,-0.000000,0.000000
2010-09-01,CL,0.000000,0.000000,0.000000
2010-09-02,CL,0.000000,0.000000,0.000000
2010-09-03,CL,0.000000,-0.000000,0.000000
2010-09-05,CL,0.000000,-0.000000,0.000000
2010-09-06,CL,0.000000,-0.000000,0.000000
2010-09-07,CL,0.000000,-0.000000,0.000000
2010-09-08,CL,0.000000,0.000000,0.000000
2010-09-09,CL,0.000000,-0.000000,0.000000
2010-09-10,CL,0.000000,0.000000,0.000000
2010-09-12,CL,0.000000,0.000000,0.000000
2010-09-13,CL,0.000000,0.000000,0.000000
2010-09-14,CL,0.000000,-0.000000,0.000000
2010-09-15,CL,0.000000,-0.000000,0.000000
2010-09-16,CL,0.000000,-0.000000,0.000000
2010-09-17,CL,0.000000,-0.000000,0.000000
2010-09-19,CL,0.000000,0.000000,0.000000
2010-09-20,CL,0.000000,0.000000,0.000000
2010-09-21,CL,0.000000,-0.000000,0.000000
2010-09-22,CL,0.000000,0.000000,0.000000
2010-09-23,CL,0.000000,-0.000000,0.000000
2010-09-24,CL,0.000000,0.000000,0.000000
2010-09-26,CL,0.000000,0.000000,0.000000
2010-09-27,CL,0.000000,-0.000000,0.000000
2010-09-28,CL,0.000000,0.000000,0.000000
2010-09-29,CL,0.000000,0.000000,0.000000
2010-09-30,CL,0.000000,0.000000,0.000000
2010-10-01,CL,-0.195549,-0.003722,-0.003722
2010-10-03,CL,-0.217562,0.000399,-0.003323
2010-10-04,CL,0.000000,-0.000000,-0.003323
2010-10-05,CL,0.000000,0.000000,-0.003323
2010-10-06,CL,0.181652,0.001243,-0.002080
2010-10-07,CL,0.174857,-0.003346,-0.005426
2010-10-08,CL,0.185257,0.002632,-0.002793
2010-10-10,CL,0.200257,0.000826,-0.001968
2010-10-11,CL,1.000000,-0.013438,-0.015406
2010-10-12,CL,0.248055,-0.000252,-0.015658
2010-10-13,CL,0.236184,0.003793,-0.011865
2010-10-14,CL,0.000000,-0.000000,-0.011865
2010-10-15,CL,0.160370,-0.001857,-0.013722
2010-10-17,CL,0.242620,-0.000770,-0.014492
2010-10-18,CL,1.000000,0.019288,0.004796
