symbol,date,open,high,low,close,volume
GC,2010-06-07,1215.1,1244.7,1211.0,1241.6,860
GC,2010-06-08,1238.7,1252.1,1234.1,1237.0,761
GC,2010-06-09,1238.2,1238.2,1222.0,1231.6,419
GC,2010-06-10,1230.8,1230.8,1215.1,1217.1,478
GC,2010-06-11,1219.5,1229.6,1218.0,1227.0,179
GC,2010-06-13,1230.2,1230.2,1230.2,1230.2,1
GC,2010-06-14,1232.0,1232.7,1217.7,1222.3,229
GC,2010-06-15,1224.0,1236.0,1222.4,1233.5,242
GC,2010-06-16,1232.0,1237.6,1228.5,1230.4,297
GC,2010-06-17,1233.9,1251.1,1233.9,1247.2,266
GC,2010-06-18,1247.7,1261.5,1242.9,1256.1,130
GC,2010-06-21,1257.4,1264.8,1232.0,1232.2,219
GC,2010-06-22,1239.5,1242.8,1232.1,1241.0,172
GC,2010-06-23,1240.2,1245.1,1226.9,1237.3,100
GC,2010-06-24,1236.4,1248.4,1230.7,1243.6,161
GC,2010-06-25,1243.3,1257.0,1243.3,1256.0,152
GC,2010-06-28,1256.1,1262.2,1238.0,1239.2,46
GC,2010-06-29,1241.2,1245.0,1228.5,1241.8,416
GC,2010-06-30,1243.5,1246.2,1236.7,1241.8,73
GC,2010-07-01,1241.7,1242.4,1201.4,1202.1,52
GC,2010-07-02,1205.8,1211.6,1200.8,1210.0,167
GC,2010-07-05,1210.7,1210.7,1206.2,1206.7,9
GC,2010-07-06,1207.7,1211.8,1190.0,1193.0,43
GC,2010-07-07,1185.8,1198.7,1185.3,1198.7,18
GC,2010-07-08,1203.3,1203.3,1189.3,1198.5,97
GC,2010-07-09,1195.0,1213.0,1195.0,1210.2,18
GC,2010-07-12,1205.7,1206.2,1204.0,1204.8,45
GC,2010-07-13,1205.2,1217.4,1205.2,1213.0,53
GC,2010-07-14,1212.0,1216.0,1202.4,1209.2,54
GC,2010-07-15,1213.2,1213.2,1208.4,1209.6,32
GC,2010-07-16,1200.9,1201.0,1186.7,1189.8,46
GC,2010-07-19,1182.2,1182.2,1180.0,1182.2,4
GC,2010-07-20,1183.2,1191.6,1181.5,1191.6,8
GC,2010-07-21,1190.7,1194.5,1184.1,1184.1,24
GC,2010-07-22,1184.9,1197.1,1184.9,1194.8,79
GC,2010-07-23,1193.7,1198.6,1188.0,1188.0,32
GC,2010-07-26,1192.6,1192.6,1182.2,1184.0,37
GC,2010-07-27,1174.0,1174.2,1162.7,1162.8,29
GC,2010-07-28,1159.8,1159.8,1159.8,1159.8,1
GC,2010-07-29,1163.7,1169.2,1158.7,1166.2,49755
GC,2010-07-30,1167.8,1183.2,1165.8,1181.1,5236
GC,2010-08-01,1181.8,1182.2,1181.1,1181.1,80
GC,2010-08-02,1181.6,1191.8,1174.7,1183.3,2377
GC,2010-08-03,1183.8,1190.5,1180.0,1189.8,602
GC,2010-08-04,1189.1,1203.0,1189.1,1194.3,1064
GC,2010-08-05,1194.3,1199.3,1190.0,1195.7,214
GC,2010-08-06,1195.4,1211.0,1195.3,1205.5,347
GC,2010-08-08,1205.8,1206.2,1205.2,1205.9,15
GC,2010-08-09,1205.0,1209.5,1199.8,1200.6,653
GC,2010-08-10,1201.6,1206.5,1191.0,1202.9,703
GC,2010-08-11,1202.8,1208.0,1193.0,1198.4,351
GC,2010-08-12,1200.5,1215.5,1199.0,1214.0,303
GC,2010-08-13,1215.1,1216.0,1212.5,1214.0,124
GC,2010-08-16,1218.0,1225.4,1218.0,1224.3,252
GC,2010-08-17,1227.4,1227.4,1223.9,1225.4,84
GC,2010-08-18,1226.0,1231.6,1218.0,1229.9,135
GC,2010-08-19,1229.6,1237.6,1228.8,1232.5,47
GC,2010-08-20,1232.7,1232.8,1223.0,1227.7,85
GC,2010-08-23,1228.9,1228.9,1222.9,1226.0,56
GC,2010-08-24,1223.0,1234.3,1211.5,1230.8,300
GC,2010-08-25,1230.7,1240.7,1230.7,1239.3,300
GC,2010-08-26,1240.9,1243.3,1235.0,1237.7,102
GC,2010-08-27,1235.7,1241.9,1234.8,1234.8,32
GC,2010-08-29,1237.1,1237.1,1237.0,1237.1,3
GC,2010-08-30,1237.3,1237.9,1234.0,1236.1,123
GC,2010-08-31,1237.1,1249.4,1233.0,1247.5,124
