symbol,date,open,high,low,close,volume
ZN,2010-06-07,121.71875,122.03125,121.25,121.8125,7693
ZN,2010-06-08,121.78125,121.96875,121.53125,121.625,12687
ZN,2010-06-09,121.609375,121.8125,121.265625,121.640625,8483
ZN,2010-06-10,121.703125,121.703125,120.59375,120.59375,7416
ZN,2010-06-11,120.671875,121.390625,120.640625,121.265625,4360
ZN,2010-06-14,121.0,121.109375,120.515625,121.09375,2285
ZN,2010-06-15,121.0625,121.234375,120.65625,120.703125,2611
ZN,2010-06-16,120.6875,121.25,120.6875,121.015625,4030
ZN,2010-06-17,121.15625,121.65625,120.796875,121.53125,4969
ZN,2010-06-18,121.46875,121.609375,121.21875,121.265625,1075
ZN,2010-06-20,121.09375,121.09375,120.828125,120.828125,231
ZN,2010-06-21,120.921875,121.15625,120.625,121.15625,2136
ZN,2010-06-22,120.25,121.0,120.078125,120.921875,932108
ZN,2010-06-23,120.90625,121.5,120.765625,121.3125,1093141
ZN,2010-06-24,121.296875,121.78125,121.15625,121.28125,1223280
ZN,2010-06-25,121.265625,121.796875,121.109375,121.5,1065121
ZN,2010-06-27,121.609375,121.640625,121.53125,121.609375,4682
ZN,2010-06-28,121.609375,122.265625,121.5,122.140625,840165
ZN,2010-06-29,122.125,122.703125,122.109375,122.65625,1301280
ZN,2010-06-30,122.640625,122.84375,122.25,122.609375,1106821
ZN,2010-07-01,122.609375,123.03125,122.421875,122.515625,1267539
ZN,2010-07-02,122.515625,122.78125,122.125,122.34375,1102090
ZN,2010-07-04,122.359375,122.453125,122.34375,122.390625,1491
ZN,2010-07-05,122.375,122.75,122.296875,122.71875,67662
ZN,2010-07-06,122.734375,122.828125,122.203125,122.671875,839755
ZN,2010-07-07,122.65625,122.859375,122.3125,122.359375,837132
ZN,2010-07-08,122.359375,122.46875,121.828125,122.09375,1095131
ZN,2010-07-09,122.09375,122.171875,121.84375,121.953125,639097
ZN,2010-07-11,121.9375,122.015625,121.90625,121.953125,3727
ZN,2010-07-12,121.96875,122.34375,121.890625,122.015625,769907
ZN,2010-07-13,122.015625,122.34375,121.453125,121.5,1036906
ZN,2010-07-14,121.5,122.3125,121.5,122.28125,1264334
ZN,2010-07-15,122.28125,122.890625,121.9375,122.640625,1377757
ZN,2010-07-16,122.640625,123.421875,122.546875,123.328125,1099718
ZN,2010-07-18,123.375,123.375,123.296875,123.359375,4356
ZN,2010-07-19,123.359375,123.421875,122.921875,123.078125,684117
ZN,2010-07-20,123.078125,123.546875,122.921875,123.109375,1039774
ZN,2010-07-21,123.109375,123.75,123.0,123.546875,1138365
ZN,2010-07-22,123.546875,123.6875,123.0,123.015625,905030
ZN,2010-07-23,123.03125,123.28125,122.640625,122.6875,1094442
ZN,2010-07-25,122.6875,122.703125,122.578125,122.6875,5438
ZN,2010-07-26,122.6875,122.84375,122.375,122.71875,776934
ZN,2010-07-27,122.703125,122.828125,122.203125,122.375,975484
ZN,2010-07-28,122.359375,122.9375,122.234375,122.921875,1024159
ZN,2010-07-29,122.90625,123.46875,122.765625,123.359375,1259294
ZN,2010-07-30,123.375,123.890625,123.296875,123.78125,1133398
ZN,2010-08-01,123.765625,123.78125,123.640625,123.65625,5482
ZN,2010-08-02,123.65625,123.71875,123.390625,123.515625,685227
ZN,2010-08-03,123.515625,124.171875,123.484375,123.9375,932009
ZN,2010-08-04,123.9375,124.25,123.5625,123.671875,964893
ZN,2010-08-05,123.671875,124.046875,123.5,123.921875,909328
ZN,2010-08-06,123.90625,124.6875,123.78125,124.578125,1075505
ZN,2010-08-08,124.578125,124.609375,124.5625,124.609375,3741
ZN,2010-08-09,124.609375,124.75,124.4375,124.453125,564046
ZN,2010-08-10,124.453125,125.234375,124.296875,125.203125,1176435
ZN,2010-08-11,125.1875,125.671875,125.140625,125.578125,1283686
ZN,2010-08-12,125.59375,125.734375,125.1875,125.25,1120030
ZN,2010-08-13,125.25,125.640625,125.234375,125.609375,796601
ZN,2010-08-15,125.578125,125.703125,125.546875,125.6875,5125
ZN,2010-08-16,125.6875,126.25,125.578125,126.15625,952850
ZN,2010-08-17,126.140625,126.171875,125.546875,125.671875,937520
ZN,2010-08-18,125.671875,126.046875,125.53125,125.703125,881937
