symbol,date,open,high,low,close,volume
ZB,2010-06-07,125.03125,125.46875,124.21875,125.21875,2305
ZB,2010-06-08,125.09375,125.3125,124.6875,124.875,2005
ZB,2010-06-09,124.84375,124.96875,124.15625,124.875,1256
ZB,2010-06-10,125.0,125.03125,123.09375,123.09375,2239
ZB,2010-06-11,123.28125,124.65625,123.25,124.40625,646
ZB,2010-06-14,124.15625,124.15625,123.3125,124.15625,626
ZB,2010-06-15,123.90625,124.40625,123.09375,123.3125,1101
ZB,2010-06-16,123.34375,124.28125,123.34375,123.9375,1098
ZB,2010-06-17,124.1875,125.03125,123.5625,124.875,600
ZB,2010-06-18,124.84375,125.1875,124.40625,124.5,1591
ZB,2010-06-20,124.25,124.25,124.1875,124.1875,5
ZB,2010-06-21,123.75,124.28125,123.3125,124.28125,898
ZB,2010-06-22,123.5625,124.84375,123.28125,124.71875,212934
ZB,2010-06-23,124.6875,125.75,124.375,125.28125,257072
ZB,2010-06-24,125.28125,125.96875,124.75,124.9375,267814
ZB,2010-06-25,124.90625,125.71875,124.59375,125.375,227515
ZB,2010-06-27,125.53125,125.59375,125.40625,125.5,1267
ZB,2010-06-28,125.53125,126.5,125.4375,126.25,198375
ZB,2010-06-29,126.25,127.40625,126.21875,127.375,324212
ZB,2010-06-30,127.375,127.75,126.90625,127.59375,292518
ZB,2010-07-01,127.59375,128.59375,127.4375,127.65625,336578
ZB,2010-07-02,127.65625,128.28125,127.0625,127.1875,256789
ZB,2010-07-04,127.1875,127.4375,127.15625,127.34375,511
ZB,2010-07-05,127.3125,128.1875,127.0625,127.96875,16758
ZB,2010-07-06,127.96875,128.15625,127.15625,127.90625,211129
ZB,2010-07-07,127.90625,128.1875,127.125,127.15625,217556
ZB,2010-07-08,127.15625,127.46875,126.34375,126.6875,234672
ZB,2010-07-09,126.65625,126.8125,126.15625,126.25,162646
ZB,2010-07-11,126.21875,126.34375,126.1875,126.3125,957
ZB,2010-07-12,126.28125,127.0,126.09375,126.1875,199205
ZB,2010-07-13,126.15625,126.6875,125.21875,125.28125,231116
ZB,2010-07-14,125.28125,126.75,125.28125,126.71875,345122
ZB,2010-07-15,126.71875,127.8125,126.15625,127.4375,353524
ZB,2010-07-16,127.4375,128.46875,127.25,128.34375,288558
ZB,2010-07-18,128.3125,128.34375,128.21875,128.34375,955
ZB,2010-07-19,128.375,128.40625,127.40625,127.6875,214545
ZB,2010-07-20,127.6875,128.40625,127.5,127.71875,252837
ZB,2010-07-21,127.71875,129.4375,127.5625,129.0,320247
ZB,2010-07-22,128.96875,129.21875,127.84375,127.84375,229491
ZB,2010-07-23,127.84375,128.21875,127.125,127.21875,259361
ZB,2010-07-25,127.21875,127.25,127.09375,127.21875,1047
ZB,2010-07-26,127.1875,127.5,126.5,127.15625,184539
ZB,2010-07-27,127.15625,127.3125,126.21875,126.46875,236996
ZB,2010-07-28,126.46875,126.96875,126.03125,126.875,273907
ZB,2010-07-29,126.875,127.125,126.21875,127.09375,298868
ZB,2010-07-30,127.09375,128.75,126.9375,128.625,354836
ZB,2010-08-01,128.5625,128.59375,128.375,128.375,1723
ZB,2010-08-02,128.375,128.53125,127.5625,127.71875,187450
ZB,2010-08-03,127.75,128.65625,127.6875,128.3125,227873
ZB,2010-08-04,128.3125,128.84375,127.75,127.875,219297
ZB,2010-08-05,127.875,128.84375,127.75,128.53125,237950
ZB,2010-08-06,128.53125,129.84375,128.34375,129.53125,264515
ZB,2010-08-08,129.53125,129.625,129.53125,129.625,832
ZB,2010-08-09,129.625,129.71875,129.09375,129.15625,183141
ZB,2010-08-10,129.15625,130.71875,129.15625,130.09375,310494
ZB,2010-08-11,130.0625,131.46875,130.0,131.375,312535
ZB,2010-08-12,131.375,131.6875,130.90625,131.0,322361
ZB,2010-08-13,131.0,132.1875,131.0,132.125,225400
ZB,2010-08-15,132.0625,132.28125,131.96875,132.25,2418
ZB,2010-08-16,132.25,134.03125,132.15625,133.90625,311366
ZB,2010-08-17,133.90625,133.90625,132.78125,133.03125,260932
ZB,2010-08-18,133.03125,134.21875,133.0,133.4375,272472
ZB,2010-08-19,133.4375,134.96875,132.96875,134.34375,370094
ZB,2010-08-20,134.3125,135.21875,133.90625,134.0,247354
ZB,2010-08-22,133.96875,134.03125,133.84375,133.96875,3208
ZB,2010-08-23,133.9375,134.34375,133.6875,134.28125,188914
ZB,2010-08-24,134.28125,136.03125,134.25,135.6875,345364
ZB,2010-08-25,135.6875,136.96875,134.96875,135.1875,404209
ZB,2010-08-26,135.1875,136.4375,135.125,136.3125,287662
ZB,2010-08-27,136.28125,136.34375,133.53125,133.71875,407787
ZB,2010-08-29,133.625,133.8125,133.46875,133.65625,2217
ZB,2010-08-30,133.625,135.84375,133.375,135.6875,257305
ZB,2010-08-31,135.6875,136.625,135.6875,136.46875,76364
ZB,2010-09-01,136.4375,136.4375,133.75,134.84375,30331
ZB,2010-09-02,134.84375,135.09375,133.75,134.125,11679
ZB,2010-09-03,134.125,134.28125,131.78125,132.84375,11961
ZB,2010-09-05,132.71875,132.78125,132.71875,132.75,5
ZB,2010-09-06,132.90625,133.34375,132.625,133.28125,287
ZB,2010-09-07,133.3125,134.46875,132.90625,134.28125,2321
ZB,2010-09-08,134.28125,134.78125,133.28125,133.53125,4397
ZB,2010-09-09,133.75,134.0,131.9375,132.09375,4504
ZB,2010-09-10,132.21875,132.375,131.28125,131.5625,2903
ZB,2010-09-12,131.34375,131.34375,131.25,131.25,35
ZB,2010-09-13,131.21875,132.28125,130.625,131.9375,1726
ZB,2010-09-14,132.15625,133.03125,131.71875,133.0,1491
ZB,2010-09-15,132.96875,132.96875,131.9375,132.0625,2417
ZB,2010-09-16,132.1875,132.40625,130.875,131.25,1124
ZB,2010-09-17,131.375,132.3125,130.96875,131.5,780
ZB,2010-09-20,131.96875,132.125,131.4375,132.0,598
ZB,2010-09-21,132.15625,132.71875,132.15625,132.53125,505
ZB,2010-09-22,132.34375,133.28125,132.28125,132.5,313919
ZB,2010-09-23,132.5,133.6875,132.3125,132.9375,300114
ZB,2010-09-24,132.9375,133.125,131.65625,131.71875,284047
ZB,2010-09-26,131.6875,131.8125,131.65625,131.71875,1668
ZB,2010-09-27,131.71875,133.4375,131.65625,133.0625,247519
ZB,2010-09-28,133.03125,134.34375,132.8125,134.03125,289262
ZB,2010-09-29,134.03125,134.375,133.53125,133.84375,242774
ZB,2010-09-30,133.84375,134.28125,132.28125,133.71875,392193
ZB,2010-10-01,133.71875,134.0625,132.59375,133.5,304744
ZB,2010-10-03,133.53125,133.84375,133.53125,133.75,1440
ZB,2010-10-04,133.75,134.3125,133.46875,134.0,204995
ZB,2010-10-05,134.0,134.5625,133.25,133.5625,332403
ZB,2010-10-06,133.59375,135.375,133.59375,134.8125,356590
ZB,2010-10-07,134.8125,135.0,134.25,134.59375,275657
ZB,2010-10-08,134.59375,135.25,133.90625,134.375,309587
ZB,2010-10-10,134.375,134.59375,134.375,134.5,1232
ZB,2010-10-11,134.46875,134.53125,134.125,134.28125,27987
ZB,2010-10-12,134.3125,134.9375,133.3125,133.46875,266442
ZB,2010-10-13,133.46875,133.59375,132.5,133.40625,349206
ZB,2010-10-14,133.4375,133.84375,132.1875,132.34375,435101
ZB,2010-10-15,132.375,132.84375,130.78125,131.21875,499105
ZB,2010-10-17,131.1875,131.375,131.15625,131.3125,1840
ZB,2010-10-18,131.34375,132.25,131.28125,131.84375,227325
ZB,2010-10-19,131.875,132.6875,131.1875,132.375,322736
ZB,2010-10-20,132.375,132.9375,131.84375,132.46875,298790
ZB,2010-10-21,132.4375,132.84375,131.53125,131.78125,317929
ZB,2010-10-22,131.78125,132.03125,131.1875,131.75,236242
ZB,2010-10-24,131.75,131.9375,131.75,131.84375,1435
ZB,2010-10-25,131.84375,132.8125,131.78125,132.1875,257680
ZB,2010-10-26,132.15625,132.21875,130.5,130.625,365404
ZB,2010-10-27,130.625,130.71875,129.59375,129.78125,336198
ZB,2010-10-28,129.75,130.53125,129.5625,130.125,282755
ZB,2010-10-29,130.125,131.09375,130.0625,131.0625,320047
ZB,2010-10-31,130.96875,130.96875,130.75,130.8125,1496
ZB,2010-11-01,130.78125,131.875,130.4375,130.8125,295677
ZB,2010-11-02,130.84375,131.78125,130.59375,131.625,244912
ZB,2010-11-03,131.625,133.0,129.90625,130.78125,471464
ZB,2010-11-04,130.78125,132.1875,130.25,131.375,402769
ZB,2010-11-05,131.375,131.625,129.9375,130.65625,357636
ZB,2010-11-07,130.65625,130.78125,130.65625,130.75,628
ZB,2010-11-08,130.75,131.21875,130.28125,130.71875,218359
ZB,2010-11-09,130.75,131.0,128.6875,128.9375,458529
ZB,2010-11-10,128.90625,129.21875,127.4375,129.1875,532056
ZB,2010-11-11,129.1875,129.21875,128.5,129.0,64445
ZB,2010-11-12,129.03125,129.84375,127.59375,127.6875,395828
ZB,2010-11-14,127.8125,127.875,127.65625,127.75,1931
ZB,2010-11-15,127.78125,127.875,125.46875,125.6875,411722
ZB,2010-11-16,125.71875,127.75,125.53125,127.4375,464685
ZB,2010-11-17,127.4375,127.90625,126.625,127.03125,352664
ZB,2010-11-18,127.0,127.03125,125.71875,126.625,303427
ZB,2010-11-19,126.625,127.4375,126.53125,127.28125,213242
ZB,2010-11-21,127.15625,127.1875,127.0625,127.125,1221
